FRA Point;FRA Point Latitude;FRA Point Longitude
EVBUN;N434401;E0121248
EVCIT;N414622;E0164703
EVGAG;N515423;E0151509
EVIKA;N453645;E0273050
EVIKU;N502739;E0143229
EVINA;N512316;E0202136
EVINO;N394247;E0151917
EVIVI;N412410;E0232720
EVKIV;N442930;E0101851
EVODO;N531739;E0225545
EVRIK;N462107;E0221432
EVRIP;N455110;E0093317
EVROG;N431516;E0094847
EVTON;N444235;E0165729
EVULI;N421008;E0132044
EXIDA;N484003;E0210528
EXIGA;N432833;E0265313
FABZO;N472612;E0232659
FAHAZ;N465319;E0190255
FASAN;N405150;E0172537
FLR;N443003;E0254229
FMD;N480618;E0163745
FOCSA;N455941;E0264123
FOGRE;N472945;E0200720
FONAS;N550050;E0235256
FORFE;N531320;E0153513
FORJO;N453354;E0135805
FUGVU;N560102;E0251022
GACMO;N430834;E0183329
GALMI;N440800;E0300132
GALTI;N403824;E0145357
GAMLI;N475424;E0144644
GANNA;N464207;E0220541
GAPMI;N440343;E0103148
GAPVO;N424054;E0240844
GAPVO;N424054;E0240844
GARGA;N421600;E0160700
GARLO;N455228;E0074501
GAROC;N463728;E0263447
GARSO;N560846;E0200456
GASRU;N421504;E0260558
GAVDU;N505028;E0220411
GAVLI;N503022;E0130818
GAVRA;N434634;E0114929
GAWOR;N490832;E0221653
GAWOR;N490832;E0221653
GAZDA;N464819;E0192349
GAZON;N440948;E0205312
GBG;N465313;E0154801
GEBNI;N424808;E0180750
GEDSO;N470450;E0115213
GEDSO;N470450;E0115213
GEDSO;N470450;E0115213
GEKBA;N441613;E0074644
GELKA;N480605;E0201359
GEMKA;N452813;E0141215
GEMKA;N452813;E0141215
GEMTO;N480800;E0223540
GEMVI;N390646;E0174819
GEN;N442528;E0090456
GENGI;N422345;E0130321
GENLU;N432120;E0192636
GERBU;N432039;E0133726
GERGI;N421100;E0253119
GERMO;N391459;E0112125
GERVI;N520919;E0221203
GESBA;N455522;E0214724
GESGI;N475008;E0162607
GEVNA;N495606;E0204329
GIANO;N385209;E0122651
GIBLO;N452130;E0095200
GIDRO;N454919;E0284403
GIGGI;N401529;E0090947
GIGIN;N555607;E0223955
GIKEB;N461057;E0113715
GIKIN;N423706;E0120255
GIKUN;N444013;E0233811
GIKUS;N461024;E0131816
GILAS;N523754;E0143133
GILEP;N472900;E0181532
GILIO;N422200;E0105534
GILUK;N435201;E0180620
GILUT;N552118;E0214019
GIMAP;N511309;E0230545
GIMBO;N484331;E0144633
GIMEL;N382742;E0160314
GIMIX;N463123;E0134251
GINAM;N431831;E0212235
GINAR;N433757;E0104858
GINOK;N523135;E0162844
GINOX;N405144;E0080000
GIPIX;N440343;E0100742
GIPUK;N443519;E0115800
GIRDA;N452832;E0140802
GIRDA;N452832;E0140802
GIRIS;N464618;E0105303
GIROV;N391248;E0154030
GIRUZ;N535158;E0193827
GISAM;N415507;E0174531
GISAM;N415507;E0174531
GISAM;N415507;E0174531
GISER;N450342;E0151026
GISIG;N385932;E0110349
GISPA;N414819;E0112032
GITAS;N470317;E0181027
GITMU;N455349;E0211852
GITOD;N424801;E0121839
GITOV;N542206;E0204154
GITRI;N405539;E0100929
GLOMY;N433336;E0173949
GLT;N452459;E0275540
GOBNI;N532217;E0182929
GODLO;N510014;E0163015
GODMA;N533540;E0182604
GOGAR;N432320;E0235516
GOGUS;N513448;E0193759
GOJOM;N550644;E0225851
GOKEL;N403554;E0190000
GOKEL;N403554;E0190000
GOKMI;N402616;E0081422
GOL;N430542;E0241314
GOL;N430542;E0241314
GOLAD;N542000;E0221030
GOLAS;N442718;E0093703
GOLOP;N503509;E0142945
GOLVA;N464232;E0153909
GOMED;N542652;E0193915
GOMEX;N534404;E0151434
GOMIG;N480820;E0124141
GOMIG;N480820;E0124141
GOMIG;N480820;E0124141
GONGO;N430553;E0270157
GONOT;N411400;E0182330
GONTU;N532944;E0191907
GOPAT;N412000;E0082638
GOPSI;N503359;E0133409
GORAT;N531041;E0235339
GORAV;N431829;E0190440
GOREP;N445506;E0120559
GORPA;N454623;E0152112
GORPI;N545500;E0153918
GORPI;N545500;E0153918
GOSAK;N503328;E0201816
GOSEB;N413051;E0142900
GOSLO;N433143;E0282631
GOSOT;N544820;E0145128
GOSOT;N544820;E0145128
GOSTI;N414842;E0210630
GOTAR;N465952;E0161329
GOTAR;N465952;E0161329
GOTEK;N460817;E0131120
GOTIX;N500118;E0231243
GOTMO;N431226;E0125423
GOVEN;N520330;E0144520
GOVGO;N431033;E0102005
GOVIN;N453842;E0210852
GOVRI;N500625;E0210154
GOXIN;N441611;E0113352
GRN;N430912;E0254242
GRUDA;N533116;E0184653
GRZ;N465719;E0152658
GUBOK;N450241;E0175142
GUDPO;N424829;E0134134
GUNGO;N462505;E0110353
GUNTA;N562217;E0234520
GUNZI;N553003;E0213438
GUPRO;N452719;E0215341
GUXVA;N464448;E0270407
GYR;N473933;E0174328
HAFAF;N501336;E0161246
HATIP;N484438;E0214320
HDO;N505541;E0142208
HOLXA;N482929;E0160244
